,0,1
0,-30.28309403,-30.28309403
1,-33.28865439,-33.28865439
2,-26.91089296,-26.91089296
3,-18.13419616,-18.13419616
4,-15.04881987,-15.04881987
5,-18.09122798,-18.09122798
6,-10.8935701,-10.8935701
7,0,0
8,0,0
9,-16.51147807,-16.51147807
10,-18.47786006,-18.47786006
11,-21.43984318,-21.43984318
12,-24.87841338,-24.87841338
13,-25.39188457,-25.39188457
14,-29.71318638,-29.71318638
15,-35.41180036,-35.41180036
16,-36.05368735,-39.64649031
17,-36.84941931,-40.73291603
18,-34.9352127,-40.578491
19,-30.89605945,-37.17443833
20,-25.91396005,-32.91117778
21,-25.41432726,-45.10082823
22,-26.00051431,-16.31662583
23,-13.98109033,0
24,-2.34416518,0
25,-6.702987093,-23.78485972
26,-18.33775388,-23.85313427
27,-24.77015593,-24.97102579
28,-27.05213936,-26.49248916
29,-25.19554839,-25.91483945
30,-29.78901874,-29.14688939
31,-34.55186954,-32.41708714
32,-35.50714152,-35.07359397
33,-34.92823817,-38.02159336
34,-31.2271561,-36.46438545
35,-29.02811778,-37.2034781
36,-30.67167955,-29.83203462
37,-30.35580437,-36.91800469
38,-21.42487567,-12.70378268
39,-10.19575505,0
40,-1.928131545,-14.50707012
41,-17.39881526,-38.15742186
42,-29.49658223,-42.1831935
43,-34.70471449,-43.81951192
44,-39.56145677,-44.55626866
45,-38.10121855,-35.03085983
46,-37.37835937,-40.95818156
47,-40.02997474,-45.67270985
48,-39.83182215,-46.52974939
49,-37.88446128,-52.11034691
50,-38.21156825,-44.31327151
51,-34.55161982,-38.69964838
52,-32.1841286,-31.97425872
53,-29.97769359,-39.29971763
54,-18.05215514,-13.58689427
55,-7.047681989,0
56,-3.16404933,-9.933535814
57,-38.79328994,-28.66030246
58,-27.77471314,-29.69448048
59,-32.06224983,-29.80982178
60,-31.19332996,-32.17460126
61,-27.77089588,-24.22374594
62,-27.72248448,-28.89451277
63,-33.77401092,-33.9143312
64,-34.3813891,-38.64587796
65,-37.33376522,-43.74797355
66,-35.30593274,-41.38710628
67,-32.41530464,-32.44745325
68,-28.02194308,-23.04474878
69,-24.00099018,-19.1146872
70,-10.13677781,-6.262124136
71,-0.951864651,0
72,-2.313341708,0
73,-5.580391947,-7.424364686
74,-10.46405721,-20.45277724
75,-21.54793172,-26.6652922
76,-26.84819548,-32.41674411
77,-28.31597308,-28.55489719
78,-29.38582227,-34.17584646
79,-30.92071109,-34.03418159
80,-34.0549897,-29.83915883
81,-32.31128731,-26.5996893
82,-26.83093457,-20.77106279
83,-20.50423254,-14.93446171
84,-10.82802866,-8.028637439
85,-7.155659277,-0.074203983
86,0.708749925,0
87,0.48327004,-1.845879436
88,-1.100648553,0
89,-0.48505315,-11.05865747
90,-12.44868689,-21.76715773
91,-21.50210678,-27.65866119
92,-24.98334567,-31.93840972
93,-29.12833568,-27.70918775
94,-28.94005921,-34.58961713
95,-31.20719576,-37.91369581
96,-35.16857683,-38.77135944
97,-32.84443706,-38.79551291
98,-33.01706991,-35.43730354
99,-28.67103166,-32.92886925
100,-18.78474774,-23.82551935
101,-13.00648828,-24.60296643
102,-11.96648743,-4.640663624
103,-6.710371883,0
104,0.235766595,-0.539562315
105,-3.633096484,-22.38779998
106,-19.23024919,-29.82866449
107,-27.16390418,-34.32970835
108,-32.0127979,-37.36151238
109,-33.0960729,-33.01461303
110,-34.61121543,-38.31572866
111,-38.15031968,-40.75530791
112,-39.33522176,-42.208736
113,-37.32850312,-43.460869
114,-34.25910601,-40.6709742
115,-34.30157153,-37.16391683
116,-27.83411254,-28.55019188
117,-23.88666269,-30.41660511
118,-13.39333356,-8.84527421
119,-5.143963923,0
120,1.445659237,0
121,-4.83754864,-19.80344367
122,-18.3167649,-22.88650578
123,-23.84227071,-25.94256532
124,-27.12722995,-28.30012965
125,-27.64500364,-27.14183599
126,-30.29064935,-29.70621073
127,-31.43078486,-32.31222761
128,-32.85403967,-36.4224245
129,-32.31767319,-35.21279538
130,-29.58637106,-34.72727966
131,-28.29506735,-34.52251625
132,-25.16000388,-26.9160744
133,-21.72436399,-25.83003652
134,-13.92232119,-8.762567043
135,-6.182591269,0
136,0.015673683,0
137,-5.152091949,-12.7300297
138,-12.87037506,-14.51959682
139,-16.79662783,-16.43747491
140,-19.14923649,-18.23796439
141,-19.19928896,-19.91734552
142,-23.52438581,-21.73186439
143,-25.08271926,-25.45046943
144,-27.11434522,-27.64836347
145,-26.26851917,-30.28740454
146,-25.97254486,-29.07955796
147,-24.67129963,-30.07284033
148,-21.60325224,-22.15920734
149,-18.04034067,-24.18119341
150,-12.8924224,-10.47995436
151,-12.72613976,0
152,-5.718372175,0
153,-9.059264371,-18.89477839
154,-15.52960711,-23.68530017
155,-19.62263604,-28.02614838
156,-24.04080978,-31.62970328
157,-26.2327844,-26.03179622
158,-25.28304804,-30.17461592
159,-29.1500679,-31.2203064
160,-29.21529427,-28.8743102
161,-25.1915587,-26.28499246
162,-23.13442488,-19.74002302
163,-16.76170764,-11.63526577
164,-8.682265476,-8.97258848
165,-10.03189833,-6.749425381
166,-3.001857455,-4.879794717
167,-4.183055252,0
168,-1.93071206,0
169,-5.114068009,-10.72115833
170,-15.03300673,-19.39956923
171,-26.32668182,-24.02147138
172,-24.86952952,-27.79182959
173,-24.00634148,-22.92156422
174,-21.68148821,-29.26154774
175,-24.27756307,-34.41624355
176,-27.2250814,-36.21429682
177,-25.40109766,-36.32756341
178,-22.71519831,-32.34905982
179,-17.2107231,-27.02499533
180,-13.42835483,-20.53209656
181,-11.878524,-21.20627767
182,-9.942478151,-10.19211739
183,-11.37227938,0
184,-1.663385031,0
185,-0.726033959,-23.29965413
186,-14.06414246,-27.16994184
187,-21.91338371,-31.03622043
188,-25.14517484,-33.37105
189,-24.82500078,-28.80023825
190,-22.02249666,-35.4418906
191,-26.02425029,-40.0285622
192,-30.20701452,-41.33195499
193,-27.84160436,-40.30464295
194,-25.81525834,-33.78448188
195,-19.83415498,-26.29541707
196,-15.02739976,-20.93071789
197,-15.64458271,-22.29709101
198,-10.09500796,-9.900729656
199,-10.72272703,0
200,-2.449900869,0
201,-6.020464799,-21.0236592
202,-19.87384971,-24.00098491
203,-27.68988319,-26.89489472
204,-29.01683249,-29.61162478
205,-27.18197967,-24.2936517
206,-23.23367361,-31.67483298
207,-28.43918373,-39.08039764
208,-32.41121982,-42.58441979
209,-31.48208596,-44.16041827
210,-29.75007319,-37.56760889
211,-25.31715364,-28.28588614
212,-19.83472579,-24.20385087
213,-20.26979815,-30.09209375
214,-12.38965613,-13.82062888
215,-14.42416585,0
216,-3.723289627,-11.66782907
217,-13.37263593,-27.91761644
218,-25.47706825,-35.59074324
219,-35.59650818,-41.78344291
220,-39.41232206,-49.34479642
221,-39.71839249,-43.62402302
222,-38.24553115,-54.80378163
223,-46.01327808,-59.59339744
224,-48.39961776,-58.85269439
225,-49.62321567,-55.8639316
226,-44.52301908,-46.64670759
227,-34.36560278,-37.73164055
228,-31.51777317,-32.86005571
229,-27.75071555,-46.51021183
230,-23.29668216,-18.67009604
231,-13.56145348,0
232,-8.346453734,-3.466451943
233,-25.97893669,-15.90785068
234,-18.08315105,-16.29606566
235,-32.88134912,-16.74568403
236,-26.44791844,-17.36897451
237,-21.21355888,-15.12203357
238,-27.08314121,-16.85448235
239,-31.84431527,-18.23097035
240,-31.09312989,-18.41516879
241,-30.28209322,-18.15268573
242,-22.42522935,-16.72168377
243,-15.98202363,-14.09477106
244,-17.09572373,-12.33025607
245,-18.67534344,-13.40664318
246,-8.741765956,-7.71985665
247,-15.08282136,0
248,-13.2144278,0
