,0
0,-30.283094029999987
1,-33.288654390000005
2,-26.910892959999998
3,-18.134196160000002
4,-15.048819870000003
5,-18.09122798
6,-10.893570099999991
7,0.0
8,0.0
9,-16.511478069999995
10,-18.477860059999998
11,-21.439843179999997
12,-24.878413379999998
13,-25.391884570000002
14,-29.713186379999996
15,-35.41180036
16,-35.854190982166976
17,-35.8784264130133
18,-37.44758731791053
19,-31.15669735575345
20,-27.34074076988854
21,-31.505197618944038
22,-33.90061071747891
23,-16.9340194134015
24,-36.827217368749054
25,-52.18946596117807
26,-50.748427005220144
27,-43.47581182543875
28,-45.33663627040094
29,-42.84648142625632
30,-44.76300098425519
31,-38.97597133744366
32,-30.87531425237478
33,-29.17463629770083
34,-32.58463157923215
35,-25.77405335351733
36,-21.48872853629598
37,-28.338567446475537
38,-30.101350179164655
39,-10.900146314287426
40,-33.65665696571398
41,-51.50648286075869
42,-50.528872196163235
43,-49.7913355927961
44,-49.828895753899204
45,-48.96186072901157
46,-52.73463234573103
47,-49.87628446436172
48,-44.35785426628715
49,-42.67251075129738
50,-42.28612924916619
51,-35.54567085563259
52,-32.48178559116815
53,-42.52735383931226
54,-27.24302608133887
55,-4.77319037172407
56,-28.843896395633408
57,-47.787316378189146
58,-45.06964221085153
59,-40.05626150529848
60,-36.16287164762011
61,-33.41564048157369
62,-34.25896331357242
63,-34.87525438502031
64,-28.523175311273548
65,-32.712040021865874
66,-33.43009493014763
67,-27.92786132520982
68,-19.860180123230663
69,-23.63431929370249
70,-17.361873469544747
71,-4.979875310794014
72,-26.768924924822045
73,-36.21994026029504
74,-36.86505104060263
75,-39.138002673555825
76,-36.269172195380314
77,-32.77368696666831
78,-30.780899530488412
79,-30.338923995380497
80,-30.810408962110188
81,-29.736831699413727
82,-23.309709599977197
83,-15.5351427342177
84,-9.91808812705382
85,-8.90569403006117
86,-5.801103230863177
87,-22.34597068713947
88,-30.730062206215578
89,-26.861603448031474
90,-27.161775550790523
91,-25.58099638488403
92,-25.99732136830623
93,-25.159147673479453
94,-24.84636434676922
95,-30.22816997909628
96,-38.428533624484594
97,-38.51096144043714
98,-33.56069036761296
99,-33.6274448283862
100,-30.167171135854744
101,-26.870332008503112
102,-25.58060395641597
103,-15.968526464229214
104,-36.79104259905596
105,-47.31125902521784
106,-45.613666985315554
107,-39.700971040433096
108,-42.17399578735783
109,-37.42523673288812
110,-37.261552440501355
111,-41.5878087361197
112,-39.69503110043911
113,-40.114893885959816
114,-36.94110486689197
115,-35.14512030744969
116,-31.014828518659897
117,-35.33125031903295
118,-28.7350569546025
119,-4.9128235557267885
120,-30.730026530900304
121,-44.78822343215757
122,-45.08272910567311
123,-38.24024525632694
124,-38.22858537411653
125,-34.5072753996873
126,-36.197339948065675
127,-32.02535560748629
128,-29.951573313850886
129,-28.70722426279886
130,-26.558987586175803
131,-23.03188213635468
132,-20.42560414097632
133,-23.028820005126548
134,-21.65115230087622
135,-8.880269422038864
136,-26.501817893440915
137,-38.32011039546527
138,-40.07718507770972
139,-35.27245145356697
140,-31.499358759010008
141,-29.58836292899352
142,-29.247396103212736
143,-24.808269055936933
144,-24.19798332922771
145,-20.649995928196503
146,-19.39776857835365
147,-18.08928125631553
148,-17.42994791698331
149,-16.345471845469064
150,-18.407855875872755
151,-16.017889208803837
152,-25.423180681860686
153,-36.351814063224545
154,-43.45561365110485
155,-34.91732747350622
156,-34.28230686153677
157,-30.150558330706403
158,-29.56457938547406
159,-31.45232680170028
160,-28.367262291731763
161,-24.48734581145716
162,-20.23629308044734
163,-12.048302823575014
164,-6.885026334990599
165,-8.621730412210624
166,-8.511214231361606
167,-6.815084879385751
168,-14.716935324175509
169,-24.307809787314667
170,-27.09887402406744
171,-27.294654208433727
172,-26.11167264554777
173,-23.586377615853152
174,-21.039177942577112
175,-28.751265439511002
176,-32.13285127830834
177,-32.13523557854617
178,-27.328617108579508
179,-22.97207841617501
180,-19.67085717092992
181,-18.22292098735136
182,-16.334870330945265
183,-4.4390791523627655
184,-7.300691325080123
185,-28.660775002305357
186,-41.772612815151746
187,-35.54351249905821
188,-32.24615607963503
189,-24.291458601145038
190,-25.787942942932702
191,-34.9717263834211
192,-36.761426141488364
193,-34.188254838689076
194,-29.437830936173015
195,-22.393591287151295
196,-17.975090517992754
197,-20.992704898540097
198,-16.72660907625422
199,-2.0106366577652466
200,-10.786395571519748
201,-35.50576206960696
202,-41.26523253536532
203,-33.830092510943715
204,-29.394919477778032
205,-25.48086172078125
206,-24.408426068173725
207,-33.02877141680035
208,-36.737630706197145
209,-37.105877256394756
210,-33.72884002029552
211,-27.587364224413534
212,-22.250557056425293
213,-27.28742401120381
214,-22.779253337091035
215,-2.145174217568922
216,-10.441135816133695
217,-44.42670167889009
218,-40.75212636747659
219,-39.328990473902934
220,-38.230422652853406
221,-37.673786654438196
222,-40.19015096354126
223,-48.585396964527995
224,-49.371038757606165
225,-54.37917816475611
226,-49.9912868161071
227,-39.61992861589055
228,-39.57217126050349
229,-48.07971126221733
230,-34.42534703814866
231,-7.00596565378703
232,-23.004061336322806
233,-50.428018079868984
234,-39.85728838021472
235,-32.587164526616974
236,-29.865792018262084
237,-22.092289466075073
238,-22.664253958288583
239,-22.02690255905422
240,-18.47185739148361
241,-16.833712318608207
242,-12.760941029820216
243,-7.917785091121786
244,-4.551926120476693
245,-6.485046591852154
246,-10.212635421770528
247,-19.47194945059084
248,-25.176289662471106
249,-31.26828974194673
250,-34.72131539959064
251,-32.30255875309142
252,-33.5129032827965
253,-34.189467799408575
254,-35.694692593439626
255,-34.71660625797378
256,-32.36603108485896
257,-29.850594333953154
258,-28.293664116310808
259,-25.75914107173064
260,-26.105649463151465
261,-25.712382625171387
262,-27.982295910439973
263,-12.229622613481467
264,-25.482574135914646
265,-46.760884044634125
266,-48.69165589108704
267,-53.55246813790572
268,-55.04163012123232
269,-50.70478122991901
270,-53.28745703129725
271,-55.27059429469412
272,-48.626340334696735
273,-49.563489245879715
274,-45.40407450805036
275,-36.448577410033444
276,-32.862227153305355
277,-39.79362578009901
278,-26.34787890801124
279,-6.52267215769993
280,-31.092600705968522
281,-47.2187588785848
282,-47.99751533581409
283,-44.1093281282806
284,-43.684548095137245
285,-38.317369342074656
286,-37.43237179594396
287,-44.058163780284374
288,-40.01282680894607
289,-42.41279445606492
290,-38.88831114191682
291,-33.309803712912114
292,-29.463202031222394
293,-34.33719927997967
294,-27.73346058636767
295,-8.19110557324737
296,-36.30261185756867
297,-51.38935188186831
298,-70.74635579445561
299,-66.79297492119235
300,-58.90194598870396
301,-54.4129329588961
302,-59.693468262917314
303,-66.41645764373587
304,-68.84193611422226
305,-69.52859674505834
306,-66.15980347973154
307,-61.85741991592084
308,-55.09446823610374
309,-55.00951936453812
310,-18.96051407663434
311,-16.873930290699604
312,-36.21800784738409
313,-68.69279545869765
314,-65.1648694766251
315,-61.944506333460275
316,-61.5897896465823
317,-54.046015314192644
318,-62.071489645253585
319,-71.13891804495893
320,-72.16311769836605
321,-77.8166503154029
322,-70.17197429963196
323,-57.617545450365164
324,-53.31303028646654
325,-86.88522478461158
326,-64.03588547635712
327,-16.364397600224663
328,-36.70219322635316
329,-67.53316338966191
330,-69.96436774825062
331,-49.07059314409664
332,-48.28717511233754
333,-49.052957646576964
334,-54.705063251002635
335,-55.30863607255349
336,-49.05367709876843
337,-55.65120828752185
338,-56.36286839553981
339,-49.60308289995373
340,-35.246860360740044
341,-80.46865811908329
342,-66.6561095470667
343,-6.653475701171061
344,-30.934844461803976
345,-60.50964217998859
346,-54.31445422401085
347,-46.98610230999161
348,-47.086005084545086
349,-42.75024726329072
350,-44.25201749762557
351,-41.30582509826715
352,-38.116005970867185
353,-41.11840482944796
354,-42.4399968839653
355,-38.07234533085135
356,-32.26037863865966
357,-52.43010190862204
358,-36.68760796828985
359,-6.403457145808659
360,-33.00783000673147
361,-52.062488595270636
362,-48.32342717854707
363,-38.22337083219989
364,-37.14805737082651
365,-32.600447635672595
366,-33.193609211047814
367,-29.689752175016963
368,-23.887358359091863
369,-25.457399255099304
370,-24.825738068651972
371,-21.467959556917606
372,-17.150247499308634
373,-24.020480798056127
374,-21.014585758577994
375,-9.390408592873555
376,-27.178221871134227
377,-39.296585395857676
378,-41.846478555437294
379,-34.856560519814025
380,-34.01713818895247
381,-30.903717749222878
382,-33.30022489075965
383,-33.76798178704266
384,-29.662270290480237
385,-28.230173946885614
386,-25.889213271238546
387,-21.817339811218417
388,-17.882679559647897
389,-19.294452865305132
390,-15.912706487589048
391,-3.239645323247217
392,-23.43934180392999
393,-32.57278737455947
394,-33.9873374089226
395,-30.842736743638994
396,-30.66395584700325
397,-27.67513144588621
398,-26.68385118965294
399,-26.830066469324677
400,-28.1827555069937
401,-27.73148655225556
402,-22.63714666456228
403,-19.316119673451368
404,-16.152016502481814
405,-16.310914356735296
406,-12.378626513630849
407,-2.5099305327550496
408,-18.490842605098024
409,-29.804103452258502
410,-33.09296320075936
411,-30.78935458020959
412,-37.0419946585015
413,-34.881604591140004
414,-32.2309583953261
415,-33.73095080978287
416,-28.302963481826907
417,-25.800922811808448
418,-19.618783102394076
419,-11.00014422301497
420,-6.691559100231586
421,-8.74932912319251
422,-6.60577185875691
423,-3.5701295522218146
424,-15.42607140363748
425,-20.280673172654645
426,-18.629881200512756
427,-24.533610749488375
428,-28.554183106137046
429,-30.046416139520588
430,-31.229058786911395
431,-33.55593365890908
432,-30.21763981520303
433,-27.240421783323484
434,-21.519141742571477
435,-19.056242839300154
436,-16.71962266034538
437,-15.619508908967077
438,-12.147747764915735
439,-18.07873920065053
440,-28.031955949308596
441,-34.674277496395035
442,-32.94806196186708
443,-31.775812722994274
444,-31.24495808575415
445,-26.683286330494354
446,-25.148486700096868
447,-24.666935348572565
448,-25.755960022784905
449,-27.154783188995808
450,-23.08857021233331
451,-22.01097947666794
452,-19.587311528431954
453,-17.698856551786037
454,-13.031746402218616
455,-9.287622063668337
456,-22.133048513781546
457,-32.3374373196627
458,-28.00694755329789
459,-28.894359129095818
460,-27.212363147856408
461,-24.965038283045416
462,-23.55393091660673
463,-23.682796101281014
464,-22.703681127557957
465,-23.175641765158034
466,-18.458853739064352
467,-15.24784347438856
468,-11.747328026222178
469,-8.711840312719971
470,-5.849580038441701
471,-19.545363303549507
472,-18.365788733272723
473,-18.297702394062398
474,-19.97527463620719
475,-17.73251026586607
476,-16.935993447513624
477,-16.6073762267053
478,-15.719411683520562
479,-15.21106222433572
480,-17.05429873886527
481,-18.28139282909393
482,-17.409184883490823
483,-17.41555887315404
484,-14.649259251090896
485,-10.915682914091505
486,-9.137750064180494
487,-12.039110484004738
488,-20.71498446086342
489,-20.74868574203049
490,-24.49458195457295
491,-30.576503757482214
492,-26.12974219273667
493,-24.970437147424335
494,-22.329524366795766
495,-28.02875111681935
496,-36.946836700880155
497,-37.886893150258395
498,-29.53355375295294
499,-24.413973579699643
500,-18.01018313645571
501,-14.87859206947725
502,-10.77487839057045
503,-0.989133463604631
504,-2.141517497752801
505,-11.558694796683497
506,-20.73160915778351
507,-23.404207564265874
508,-21.21016972871024
509,-22.990338231712073
510,-27.366991856048145
511,-34.40011864436039
512,-37.533190236922934
513,-39.58661976319156
