,0
0,-30.283094029999987
1,-33.288654390000005
2,-26.910892959999998
3,-18.134196160000002
4,-15.048819870000003
5,-18.09122798
6,-10.893570099999991
7,0.0
8,0.0
9,-16.511478069999995
10,-18.477860059999998
11,-21.439843179999997
12,-24.878413379999998
13,-25.391884570000002
14,-29.713186379999996
15,-35.41180036
16,-35.539933075758526
17,-36.58862086016188
18,-36.64448840388908
19,-30.618987112093848
20,-25.76273238680207
21,-23.362342581785754
22,-20.509197350561323
23,-8.495630064470475
24,-10.342392489326798
25,-18.896030944267224
26,-29.072016253300262
27,-31.066771777706393
28,-31.063959373685222
29,-28.530387670845826
30,-29.789078198640084
31,-31.8728674182113
32,-33.000237110462876
33,-31.5156623780926
34,-31.325542677083945
35,-28.115899966160512
36,-27.10064589805964
37,-26.49996277704639
38,-17.25846856820803
39,-6.869049739631407
40,-9.418354256508906
41,-23.416224199629085
42,-32.366078651946
43,-35.676236563668525
44,-38.587687151830906
45,-37.50713536499737
46,-38.71722422160962
47,-43.33991860365445
48,-41.78457593754203
49,-36.11127324995465
50,-34.80766155433801
51,-29.050272148637603
52,-25.01481723963164
53,-22.156505033577602
54,-11.029612033435583
55,-5.438897700719508
56,-8.250415784899005
57,-19.362895957668258
58,-29.007889874085933
59,-30.901939929344806
60,-29.9699044800185
61,-28.066424249754164
62,-28.708437223518345
63,-30.43434357198055
64,-30.735086479784073
65,-30.61540174290829
66,-30.435401939667173
67,-27.35034337558453
68,-23.639896534657808
69,-19.243413380912386
70,-8.545016592588624
71,-3.7172783359766868
72,-7.388375304150472
73,-15.042954192854324
74,-19.99306472675974
75,-25.40071117912069
76,-26.729586943840857
77,-26.57843657888884
78,-27.055469057144435
79,-28.35394945324674
80,-29.623384196825924
81,-30.395742880848474
82,-28.917982133696512
83,-22.967696298281552
84,-15.203623921100004
85,-9.21234714842926
86,-4.8649889038232885
87,-2.599677734225722
88,-4.1478912831681924
89,-8.018609477986644
90,-16.875178926734378
91,-22.483558486399517
92,-24.034471467531446
93,-27.16440363234942
94,-28.946373738772863
95,-31.25837200429912
96,-34.194289912857144
97,-34.21238324358957
98,-33.003543023012085
99,-26.854628923894396
100,-17.726647622388512
101,-11.610215897832518
102,-9.581753146373444
103,-4.5244382900540785
104,-5.695302137516876
105,-11.631769734147028
106,-24.17412843507769
107,-28.11860534423586
108,-30.460226013215603
109,-30.396932058024447
110,-30.64833005891097
111,-34.37972425579245
112,-35.673049568836916
113,-34.14734714383562
114,-33.325090585509244
115,-30.220886268893437
116,-24.118801966965563
117,-17.759248914667808
118,-9.918658932098296
119,-3.621733895773147
120,-5.374943752195691
121,-13.04571328815041
122,-22.74072399658951
123,-25.83650299291355
124,-27.376041494357295
125,-26.73853550209006
126,-27.697529597995654
127,-28.657920977083023
128,-29.56994852042358
129,-29.19438853059374
130,-28.81169347770806
131,-26.544420165770134
132,-22.266331491664573
133,-16.598296858966748
134,-9.136233863281134
135,-3.7565806416425858
136,-5.279637147427351
137,-11.739972965388787
138,-16.933912387455663
139,-22.336041057720095
140,-24.09809244644599
141,-24.638948063736052
142,-25.66543985614986
143,-25.562944675352767
144,-26.701581821346707
145,-26.087080461548652
146,-25.916368132051872
147,-23.82631194876329
148,-21.05548750754558
149,-15.568736989438932
150,-10.522451751426715
151,-4.69971705990659
152,-5.493474987210774
153,-8.139988792338187
154,-16.60936809847506
155,-20.082734631713976
156,-26.375509439694966
157,-27.35878653353393
158,-27.735470295795068
159,-29.323152635208075
160,-29.044100319094298
161,-27.075399666613734
162,-25.46517647383017
163,-19.33085952454755
164,-13.513160998367667
165,-9.378439524597383
166,-5.033697469778545
167,-2.3014023690623446
168,-2.950883375491628
169,-5.410054208316282
170,-8.707737651462864
171,-14.491794355334463
172,-15.79020340080622
173,-17.791398319620228
174,-18.576796331377338
175,-21.189466154076555
176,-22.221588700418593
177,-21.202707641931
178,-19.094831638660466
179,-15.364186623399846
180,-12.573627786946858
181,-9.029748993058647
182,-6.463040868210783
183,-2.3414479104632306
184,-2.195488303884332
185,-2.9667113237038336
186,-5.649851785851197
187,-8.129506195531974
188,-11.444171088751446
189,-14.803388504868735
190,-16.586191035315352
191,-19.22756164915667
192,-21.61603589886974
193,-21.06643982933629
194,-21.233596519076897
195,-17.92248131972771
196,-14.282933222032483
197,-9.970340572166066
198,-5.899216293766813
199,-3.0443645932948584
200,-3.474436464871289
201,-6.649486011745665
202,-11.90830694053362
203,-15.364115272769297
204,-17.51779243497242
205,-19.527632671855756
206,-19.78736085885997
207,-22.26618879040346
208,-23.625049657615776
209,-23.18180764881545
210,-23.249995068085724
211,-21.6860605968769
212,-19.171979507951704
213,-16.59161368323778
214,-10.757213163621373
215,-4.764164516958431
216,-4.839998345470221
217,-9.55921823888876
218,-13.822287605261792
219,-19.409024140324235
220,-22.539069276973933
221,-26.02073032101525
222,-28.00846375419725
223,-33.59571163544537
224,-33.938135203266725
225,-34.595833423981986
226,-32.94742575207793
227,-26.66330220805213
228,-23.33317206565914
229,-22.624458144094646
230,-14.066954863332313
231,-6.521364062806356
232,-6.51634573512375
233,-9.96710601024742
234,-15.227133953868986
235,-20.831077882667756
236,-23.478210059926667
237,-22.228325389120485
238,-24.167914984333237
239,-25.224290799179244
240,-25.232745848900407
241,-24.742632421709118
242,-23.27684668871919
243,-21.31794485616865
244,-20.41377777396127
245,-19.617593925218102
246,-12.156321732354499
247,-6.2086461408407985
248,-9.114567055134899
249,-16.3069841261687
250,-21.79211141743015
251,-27.296657971975236
252,-28.96853405544711
253,-29.469326293678648
254,-30.32901814950465
255,-32.40091559731613
256,-32.37973040592617
257,-29.119000643522952
258,-25.83146088168742
259,-21.949029291685633
260,-19.092821929233082
261,-16.12508758533191
262,-13.679051214415878
263,-5.346748361353377
264,-6.371468279774987
265,-16.42475428779116
266,-29.159093752010875
267,-34.1496244181276
268,-37.350853700531026
269,-36.75426134900313
270,-37.61843640278254
271,-42.9832308556073
272,-41.38096920401687
273,-38.99726950066533
274,-36.44489096078793
275,-29.896752246038545
276,-23.914251600926477
277,-20.305729135752387
278,-9.247083013739427
279,-5.057373987352165
280,-8.062680384128186
281,-18.183119227271547
282,-28.32579568360559
283,-31.3223675740241
284,-31.652025324861384
285,-29.32744556481333
286,-28.626104541739878
287,-32.9827799895196
288,-34.82444679017688
289,-34.668159179824656
290,-33.0290806028661
291,-28.09949526701797
292,-22.668077162909327
293,-19.18159995130533
294,-11.057438779353333
295,-5.089672039451585
296,-9.6928520240387
297,-26.058462912808864
298,-39.70248129544658
299,-41.819638826575584
300,-41.48496869394157
301,-41.50834197133531
302,-42.87228657097492
303,-49.243463830167805
304,-48.913330408460126
305,-45.76085144438571
306,-45.43339367132396
307,-37.87261707826084
308,-28.097015832606075
309,-22.977893492565514
310,-14.783350869453585
311,-11.306077889191613
312,-19.070792422048186
313,-38.254503490666856
314,-42.758654745924844
315,-42.3848369006578
316,-40.91792739523659
317,-32.84704136076819
318,-36.303658333483526
319,-47.563311073551155
320,-50.89275446612502
321,-53.606444889923125
322,-48.042888390963334
323,-36.56841079405622
324,-36.33225804456567
325,-51.87688182164481
326,-31.933759235506983
327,-10.86645692489212
328,-15.46835854401506
329,-36.432957567827046
330,-44.86566264985692
331,-38.1058741813279
332,-36.686258252195124
333,-28.742174180000703
334,-30.128855847244907
335,-35.41910078290793
336,-38.15107480578662
337,-39.9758790740886
338,-37.72424344201472
339,-30.12792234316177
340,-31.641073003070687
341,-51.74267128556452
342,-30.25383242255377
343,-7.579482022215174
344,-9.938541974480557
345,-27.6625856266797
346,-31.410937490090546
347,-33.64292196933148
348,-32.68147816844338
349,-27.813444643223605
350,-28.560961416040087
351,-30.908230676605697
352,-32.41132089760589
353,-33.060165694246024
354,-32.895220874052725
355,-29.97607036367593
356,-29.682510086015284
357,-32.58833586613531
358,-18.69894266500738
359,-6.441986486310185
360,-9.505378242246593
361,-17.167859213284785
362,-24.003493402097362
363,-24.305627647196758
364,-25.62387216796374
365,-24.086414726577942
366,-25.16785245040758
367,-26.632223062558083
368,-26.835322632442484
369,-27.78536817009889
370,-27.614869892493786
371,-26.273097501300185
372,-25.594148684450303
373,-23.745418171367746
374,-12.19612349243431
375,-4.636357699970759
376,-6.4393524588654
377,-12.44137939320693
378,-21.23421489120841
379,-24.769460258799057
380,-26.92474875607563
381,-26.937811867353687
382,-27.7116332393027
383,-29.72197887648582
384,-29.995073414947967
385,-29.24644476147195
386,-29.028111831963344
387,-25.81080487414077
388,-20.62408375753205
389,-15.104571408227358
390,-8.040870874720852
391,-2.7520588975548606
392,-4.551361261318107
393,-11.301535232379393
394,-19.495744885882047
395,-23.613473017807692
396,-25.064828085767175
397,-25.435744338724845
398,-25.938136020258057
399,-27.331923021128702
400,-28.734515878987438
401,-28.30619209785968
402,-27.31652317669986
403,-23.399557881507832
404,-17.238032558438945
405,-11.008908458801898
406,-5.958710827880722
407,-2.4087493927374055
408,-3.6220906489259477
409,-8.242852618059828
410,-16.811153627579998
411,-22.13636037221663
412,-25.79646934328443
413,-27.013473265174966
414,-27.051913417388278
415,-28.93067660005002
416,-28.646272986644377
417,-26.71657734553571
418,-23.747285179534018
419,-16.639501848114207
420,-9.323915751079028
421,-6.154140204980095
422,-3.7319468364423045
423,-2.306587181549588
424,-4.471389096233935
425,-12.315730932793656
426,-19.686298636559926
427,-24.480145343656645
428,-25.69461631816236
429,-26.51398317595111
430,-27.22693651414795
431,-28.80718649621113
432,-29.728109084827963
433,-29.149479254543138
434,-25.80830760207124
435,-19.051503968253897
436,-13.889327468557255
437,-10.419106308948798
438,-7.317411156174288
439,-3.6123156125394473
440,-4.095733972230022
441,-6.857675259943221
442,-14.343854768757566
443,-23.072224972049554
444,-26.06247638577777
445,-26.16329482675674
446,-26.151825212894494
447,-27.13863416294609
448,-28.16509622593051
449,-27.61700446552466
450,-25.03918347996732
451,-19.90696235333344
452,-14.458818472244744
453,-9.781814368573222
454,-6.2117796226994955
455,-3.1001191651903355
456,-3.3129818796894597
457,-4.751244106941485
458,-9.55010914172081
459,-13.049423520939456
460,-16.47761915914903
461,-18.915372911034424
462,-21.65559982351435
463,-23.33391530139413
464,-23.4426477164792
465,-22.342236670806912
466,-18.175490655687682
467,-13.319015932618356
468,-9.766170742823306
469,-6.468065141779263
470,-4.508158454515012
471,-2.5367048568720776
472,-2.7152062968714716
473,-3.3645624396972806
474,-5.863992865814495
475,-11.574695175586214
476,-17.150306958167434
477,-18.360508786611405
478,-20.913398672674475
479,-21.057639918234088
480,-22.066841074509256
481,-19.115160622483728
482,-15.80355786049239
483,-12.268633570739254
484,-9.12512100257166
485,-7.641788960350269
486,-6.876155073257834
487,-3.184711283603164
488,-3.369527254406961
489,-3.3912178460967084
490,-4.484969499583542
491,-8.02683858404437
492,-12.759276181773856
493,-16.671698820153665
494,-20.61846489537558
495,-18.816641475999276
496,-19.413798686685766
497,-18.693870824351848
498,-17.282745620255525
499,-14.53292799385136
500,-10.881250288961212
501,-7.229412045152316
502,-4.988395765259867
503,-1.8826871395164488
504,-1.7498263195308965
505,-2.0484941131623344
506,-3.1902885245584685
507,-5.036717979805516
508,-6.3854411115926695
509,-9.164357903492885
510,-13.906635942353546
511,-19.275211978597895
